[2024-03-31 22:42:27] 1 Stepping down
[2024-03-31 22:42:27] Vote granted for Node 0 in term 1.
[2024-03-31 22:42:32] Node 1 election timeout. Starting new election.
[2024-03-31 22:42:34] Error occurred while sending RPC to Node 3.
[2024-03-31 22:42:34] Error occurred while sending RPC to Node 4.
[2024-03-31 22:42:34] Error occurred while sending RPC to Node 2.
[2024-03-31 22:42:39] 1 Stepping down
[2024-03-31 22:42:39] Vote granted for Node 0 in term 3.
[2024-03-31 22:42:39] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:42:40] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:42:41] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:42:42] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:42:43] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:42:44] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:42:45] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:42:46] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:42:47] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:42:48] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:42:49] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:42:50] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:42:51] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:42:52] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:42:54] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:42:55] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:42:56] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:42:57] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:42:58] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:42:59] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:00] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:01] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:02] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:03] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:04] Node 1 accepted AppendEntries RPC from 0.
[2024-03-31 22:43:05] Node 1 accepted AppendEntries RPC from 0.
